run_path,campaign,suite,algorithm,engine,problem,seed,max_evaluations,population_size,n_obj,n_var,runtime_seconds,front_size,fun_ncols,x_nrows,x_ncols,git_revision,timestamp,vamos_version,backend,backend_info.capabilities,backend_info.device,backend_info.name,config.constraint_mode,config.engine,config.selection,metrics.evals_per_sec,metrics.evaluations,metrics.spread,metrics.termination,metrics.time_ms,obj0_max,obj0_min,obj1_max,obj1_min,obj2_max,obj2_min
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/DTLZ2/nsgaii/moocore/seed_13,engine_study_pilot,DTLZ2,nsgaii,moocore,"{'description': 'DTLZ2 with configurable objectives (defaults to 3).', 'encoding': 'continuous', 'key': 'dtlz2', 'label': 'DTLZ2', 'n_obj': 3, 'n_var': 12}",13,12000,240,3,12,498.71,240,3,240,12,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:49.543465+00:00,0.1.0,moocore,<list len=1>,cpu,MooCoreKernel,feasibility,moocore,"['tournament', {'pressure': 2}]",24062.075341959822,12000,1.3196947347463324,max_evaluations,498.71010000015303,1.3196947396769396,4.930607189091052e-09,1.2851720108491183,6.349811318534173e-07,1.2136260436766573,1.4298952649309258e-08
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/DTLZ2/nsgaii/moocore/seed_7,engine_study_pilot,DTLZ2,nsgaii,moocore,"{'description': 'DTLZ2 with configurable objectives (defaults to 3).', 'encoding': 'continuous', 'key': 'dtlz2', 'label': 'DTLZ2', 'n_obj': 3, 'n_var': 12}",7,12000,240,3,12,517.48,240,3,240,12,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:45.057110+00:00,0.1.0,moocore,<list len=1>,cpu,MooCoreKernel,feasibility,moocore,"['tournament', {'pressure': 2}]",23189.32888922923,12000,1.2970271845249293,max_evaluations,517.4793999999565,1.2970273039263902,1.1940146091168618e-07,1.466384637290803,2.4948235213211257e-07,1.1986184778339888,2.285143527919964e-07
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/DTLZ2/nsgaii/numba/seed_13,engine_study_pilot,DTLZ2,nsgaii,numba,"{'description': 'DTLZ2 with configurable objectives (defaults to 3).', 'encoding': 'continuous', 'key': 'dtlz2', 'label': 'DTLZ2', 'n_obj': 3, 'n_var': 12}",13,12000,240,3,12,517.32,240,3,240,12,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:31.096449+00:00,0.1.0,numba,<list len=1>,cpu,NumbaKernel,feasibility,numba,"['tournament', {'pressure': 2}]",23196.56829967196,12000,1.1892367684051828,max_evaluations,517.3179000003074,1.1892370018712293,2.3346604647790037e-07,1.1970931353485699,2.0080320088527425e-07,1.2095977084096783,1.9482029467752987e-06
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/DTLZ2/nsgaii/numba/seed_7,engine_study_pilot,DTLZ2,nsgaii,numba,"{'description': 'DTLZ2 with configurable objectives (defaults to 3).', 'encoding': 'continuous', 'key': 'dtlz2', 'label': 'DTLZ2', 'n_obj': 3, 'n_var': 12}",7,12000,240,3,12,466.1,240,3,240,12,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:26.876672+00:00,0.1.0,numba,<list len=1>,cpu,NumbaKernel,feasibility,numba,"['tournament', {'pressure': 2}]",25745.3769348425,12000,1.6220565563402896,max_evaluations,466.10310000005484,1.6220566616055228,1.0526523311751482e-07,1.1225901198565327,3.007846952941449e-09,1.2595478154967201,8.315921561795692e-08
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/DTLZ2/nsgaii/numpy/seed_13,engine_study_pilot,DTLZ2,nsgaii,numpy,"{'description': 'DTLZ2 with configurable objectives (defaults to 3).', 'encoding': 'continuous', 'key': 'dtlz2', 'label': 'DTLZ2', 'n_obj': 3, 'n_var': 12}",13,12000,240,3,12,1283.55,240,3,240,12,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:14.110679+00:00,0.1.0,numpy,<list len=1>,cpu,NumPyKernel,feasibility,numpy,"['tournament', {'pressure': 2}]",9349.105898254582,12000,1.1598456154717802,max_evaluations,1283.5452000003897,1.159845720624251,1.051524707517323e-07,1.1938344540457422,4.529919050077558e-08,1.442763946896234,2.2158128993882937e-07
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/DTLZ2/nsgaii/numpy/seed_7,engine_study_pilot,DTLZ2,nsgaii,numpy,"{'description': 'DTLZ2 with configurable objectives (defaults to 3).', 'encoding': 'continuous', 'key': 'dtlz2', 'label': 'DTLZ2', 'n_obj': 3, 'n_var': 12}",7,12000,240,3,12,1301.4,240,3,240,12,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:09.627426+00:00,0.1.0,numpy,<list len=1>,cpu,NumPyKernel,feasibility,numpy,"['tournament', {'pressure': 2}]",9220.807212515476,12000,1.2824487888873064,max_evaluations,1301.4044999999896,1.2824489765087885,1.8762148214087514e-07,1.2791137719307126,7.926481139401016e-08,1.1929452885227723,1.8031089298971494e-07
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/ZDT1/nsgaii/moocore/seed_13,engine_study_pilot,ZDT1,nsgaii,moocore,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",13,8000,128,2,30,398.79,128,2,128,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:40.303973+00:00,0.1.0,moocore,<list len=1>,cpu,MooCoreKernel,feasibility,moocore,"['tournament', {'pressure': 2}]",20221.19946018069,8064,0.768593533868711,max_evaluations,398.7893999997141,0.7685935362372955,2.3685845037806417e-09,1.5874543205457168,0.1864330814281495,,
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/ZDT1/nsgaii/moocore/seed_7,engine_study_pilot,ZDT1,nsgaii,moocore,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",7,8000,128,2,30,429.06,128,2,128,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:35.809536+00:00,0.1.0,moocore,<list len=1>,cpu,MooCoreKernel,feasibility,moocore,"['tournament', {'pressure': 2}]",18794.714359491878,8064,0.9985123759044291,max_evaluations,429.0568000001258,0.9985124733094513,9.740502213734908e-08,1.5581372161431746,0.044060526627459115,,
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/ZDT1/nsgaii/numba/seed_13,engine_study_pilot,ZDT1,nsgaii,numba,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",13,8000,128,2,30,548.31,128,2,128,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:22.635129+00:00,0.1.0,numba,<list len=1>,cpu,NumbaKernel,feasibility,numba,"['tournament', {'pressure': 2}]",14707.121463971916,8064,0.9921878042223984,max_evaluations,548.3057999999801,0.992187856354962,5.213256360225452e-08,1.4179134566015315,0.059982673666054,,
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/ZDT1/nsgaii/numba/seed_7,engine_study_pilot,ZDT1,nsgaii,numba,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",7,8000,128,2,30,463.59,128,2,128,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:18.475946+00:00,0.1.0,numba,<list len=1>,cpu,NumbaKernel,feasibility,numba,"['tournament', {'pressure': 2}]",17394.58684082223,8064,0.9965857946864608,max_evaluations,463.5924999997769,0.9965857979911689,3.3047080198105803e-09,1.3101315796264565,0.04911380779023368,,
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/ZDT1/nsgaii/numpy/seed_13,engine_study_pilot,ZDT1,nsgaii,numpy,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",13,8000,128,2,30,578.27,122,2,122,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:05.369803+00:00,0.1.0,numpy,<list len=1>,cpu,NumPyKernel,feasibility,numpy,"['tournament', {'pressure': 2}]",13944.948924719627,8064,0.9958728970457429,max_evaluations,578.2739000001129,0.9958729475421266,5.049638368831241e-08,1.4676706577974876,0.054790933539045315,,
C:/Users/nicor/Desktop/VAMOS/results/engine_study_pilot/ZDT1/nsgaii/numpy/seed_7,engine_study_pilot,ZDT1,nsgaii,numpy,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",7,8000,128,2,30,572.95,128,2,128,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:37:01.847578+00:00,0.1.0,numpy,<list len=1>,cpu,NumPyKernel,feasibility,numpy,"['tournament', {'pressure': 2}]",14074.418487752244,8064,0.9967229129619458,max_evaluations,572.9544000000715,0.9967230380919206,1.2512997485797235e-07,1.3934801011788396,0.05375347808365502,,
